country_code,year,weighted_ai_exposure,ai_vulnerability_index,internet_penetration_pct
BEL,2024,0.5882614550466179,58.83,95.78
AUS,2023,0.5805001431964347,58.05,97.06
AUT,2024,0.5672227261872088,56.72,94.92
ABW,2010,0.5191260127564213,51.91,62.0
BLR,2024,0.5083129749479298,50.83,94.26
BRB,2023,0.4884420424239213,48.84,79.99
ARG,2024,0.47960499762022,47.96,89.67
BHS,2019,0.4667089514017982,46.67,90.69
BRA,2024,0.4387732283123267,43.88,84.46
BIH,2024,0.4181717576109377,41.82,86.1
DZA,2014,0.3910095871649384,39.1,29.5
ARM,2017,0.37773147617334374,37.77,64.74
BLZ,2019,0.36519595708325536,36.52,58.77
BWA,2023,0.3493170611894724,34.93,81.36
AZE,2014,0.34635990353907314,34.64,75.0
ALB,2023,0.3339162283500542,33.39,83.14
BOL,2023,0.3227936498336953,32.28,70.24
BTN,2023,0.30815538316489405,30.82,88.43
BEN,2022,0.22829263045774226,22.83,30.01
AGO,2023,0.22327789931525888,22.33,44.76
BGD,2023,0.22321432488419626,22.32,44.5
AFG,2021,0.1883780394469272,18.84,16.51
